tag,normal,a,A
tag,normal,abbr,Abbr
tag,deprecated,acronym,Acronym
tag,normal,address,Address
tag,deprecated,applet,Applet
tag,normal,area,Area
tag,normal,article,Article
tag,normal,aside,Aside
tag,normal,audio,Audio
tag,normal,b,B
tag,normal,base,Base
tag,deprecated,basefont,BaseFont
tag,normal,bdi,BDI
tag,normal,bdo,BDO
tag,deprecated,big,Big
tag,normal,blockquote,BlockQuote
tag,normal,body,Body
tag,normal,br,Br
tag,normal,button,Button
tag,normal,canvas,Canvas
tag,normal,caption,Caption
tag,deprecated,center,Center
tag,normal,cite,Cite
tag,normal,code,Code
tag,normal,col,Col
tag,normal,colgroup,ColGroup
tag,normal,command,Command
tag,colliding,content,Content
tag,colliding,data,Data
tag,normal,datalist,DataList
tag,normal,dd,DD
tag,normal,del,Del
tag,normal,details,Details
tag,normal,dfn,Dfn
tag,deprecated,dir,Dir
tag,normal,div,Div
tag,normal,dl,DL
tag,normal,dt,DT
tag,normal,em,Em
tag,normal,embed,Embed
tag,normal,fieldset,FieldSet
tag,normal,figcaption,FigCaption
tag,normal,figure,Figure
tag,deprecated,font,Font
tag,normal,footer,Footer
tag,normal,form,Form
tag,deprecated,frame,Frame
tag,deprecated,frameset,FrameSet
tag,normal,h1,H1
tag,normal,h2,H2
tag,normal,h3,H3
tag,normal,h4,H4
tag,normal,h5,H5
tag,normal,h6,H6
tag,normal,head,Head
tag,normal,header,Header
tag,normal,hgroup,HGroup
tag,normal,hr,HR
tag,normal,html,HTML
tag,normal,i,I
tag,normal,iframe,IFrame
tag,normal,img,Img
tag,normal,input,Input
tag,normal,ins,Ins
tag,deprecated,isindex,IsIndex
tag,normal,kbd,Kbd
tag,normal,keygen,KeyGen
tag,normal,label,Label
tag,normal,legend,Legend
tag,normal,li,LI
tag,normal,link,Link
tag,colliding,main,Main
tag,colliding,map,Map
tag,normal,mark,Mark
tag,deprecated,menu,Menu
tag,deprecated,menuitem,MenuItem
tag,normal,meta,Meta
tag,normal,meter,Meter
tag,normal,nav,Nav
tag,normal,noframes,NoFrames
tag,normal,noscript,NoScript
tag,colliding,object,Object
tag,normal,ol,OL
tag,normal,optgroup,OptGroup
tag,colliding,option,Option
tag,normal,output,Output
tag,normal,p,P
tag,normal,param,Param
tag,normal,picture,Picture
tag,normal,pre,Pre
tag,normal,progress,Progress
tag,normal,q,Q
tag,normal,rp,RP
tag,normal,rt,RT
tag,normal,rtc,RTC
tag,normal,ruby,Ruby
tag,deprecated,s,S
tag,normal,samp,Samp
tag,normal,script,Script
tag,normal,section,Section
tag,normal,select,Select
tag,normal,shadow,Shadow
tag,normal,small,Small
tag,normal,source,Source
tag,normal,span,Span
tag,deprecated,strike,Strike
tag,normal,strong,Strong
tag,colliding,style,Style
tag,normal,sub,Sub
tag,normal,summary,Summary
tag,normal,sup,Sup
tag,normal,table,Table
tag,normal,tbody,TBody
tag,normal,td,TD
tag,colliding,template,Template
tag,normal,textarea,TextArea
tag,normal,tfoot,TFoot
tag,normal,th,TH
tag,normal,thead,THead
tag,normal,time,Time
tag,colliding,title,Title
tag,normal,tr,TR
tag,normal,track,Track
tag,deprecated,tt,TT
tag,deprecated,u,U
tag,normal,ul,UL
tag,colliding,var,Var
tag,normal,video,Video
tag,normal,wbr,WBR
attr,normal,accept-charset,AcceptCharSet
attr,normal,accept,Accept
attr,normal,accesskey,AccessKey
attr,colliding,action,Action
attr,normal,align,Align
